key,name_en
191139,Emile Corp
5031,Emirates Post
101039,Emons
100685,EMS (Express Mail Service)
101099,EMU
100427,endicia
12011,Enterprise des Poste Lao
12016,Enterprise des Poste Lao (APL)
100822,Entrego
100993,envía (envia)
100432,envialia
190836,Enyuan International
100718,eParcel Korea
191378,EPE OWOS
190099,EPOS
190700,E-post
11051,ePOST (인터넷우체국)
11054,ePOST (인터넷우체국)(Domestic)
100028,ePost Global
190321,EPP
190028,EPS
190746,EPS CROSS BORDER
190185,EQT
191088,Equator Intl
190735,Equatorial Supply Chain
190136,Equick
190289,escbest
190929,ESD
190242,ESE
100627,eShip
190539,eShiper发件网
100428,eShipper
190075,Eshun
100558,EsigetExpress
191221,ESL
100103,Esnad Express
191390,ESP
190444,Espost
100139,Estafeta
100819,Estafeta USA
100221,Estes
100964,Estes Forwarding Worldwide
190275,ESX Logistics
190462,ETEEN
5051,Ethiopian Post
191013,E-touch 
190017,ETS
190906,EUK
100196,EURODIS
100526,EuroExpress
190494,EVERWIN
100331,EVRi
190412,EWE Global Express
190026,EWS
100914,Excel Transportation
101093,Exclusive Delivery Network
100994,ExelDirect
100032,Exelot
100270,Expeditors
190574,ExPlus
100328,Express Courier International
100708,Express Courier Link
100265,Express One
101091,Express One (BG)
101092,Expressgodo Logistics
190493,ExwWorld
190969,Fafalux
100523,FamaFutar
100227,FamiPort
100629,FAN Courier
100800,FAN Courier (EU)
190939,Fan Sheng
190691,FANKU
190152,FAR International
100310,FARGO
190399,fargood
96021,Faroe Post
100779,Fast and Furious
100158,Fast Despatch
100301,FAST EXPRESS
100870,Fast Express Cargo Pvt. Ltd
100882,Fast Horse Express (AU)
100917,Fast Horse Express (NZ)
100918,Fast Horse Express (US)
191497,Fast Vessel
100772,Fastbox (패스트박스)
101021,FastEntegre Shipment
190916,faster
191180,Faster Cargo
101094,Fastfrate Group
190541,Fastgo
100844,FASTIEXPRESS
100668,Fastlinkagexpress
190814,FASTSUPPLY
100068,Fastway (IE)
100066,Fastway (ZA)
101110,Fastway Logistics
190337,FBB
191466,FCEX
190697,FCJY
190314,FCKJ
191393,FD  
100003,FedEx
100854,FedEx France Domestic
100841,FedEx® Cross Border (UK) 
100222,FedEx® International Connect (FIC)
100261,FedEx® Poland
190903,Fengji Global
100458,Fercam
100533,fermopoint
190788,FF Express
100967,Fiege Netherlands
6031,Fiji Post
100682,First Flight Couriers
100894,FIRST FLIGHT SINGAPORE
100990,First Fly Express
100393,First Global Logistics
191134,FIRST UNION
100191,FirstMile
100853,Fizzpa ( فيزبا)
190353,FJEX
191075,FL
100482,Flash Express (LA)
100481,Flash Express (MY)
100480,Flash Express (PH)
100235,Flash Express (TH)
191483,FlashGo
190981,FLEETAN
191298,FleetEx
101035,FleetOptics
191412,FleetTurbo
100651,Flickpost
100986,Flight Logistics
100094,Flip Post
100654,Fliway
190731,FLS
190932,Flyfast
100937,Flyking
190002,FLYT
100532,FMX
191566,FOREST
191061,ForestLeopard
100817,Forward
100513,Forza Delivery
190322,Four Seasons
100380,FOXPOST
100234,FPS Logistics
100936,France Express
100602,Franch Express
190505,Frayun
191122,Freedom SCM
100773,Freightquote by C.H. Robinson
191487,FriendShip
100899,Frontline Freight
191543,FS
191015,FSD
191084,FSD
190371,FSGJ
190727,FSQH
191365,FSTCARGO
100681,Fstexpress
191246,Fudu Logistics
190591,Fuhai Wulian
100599,Fukuyama Transporting (福山通運)
100760,Fulfilla
190534,Fulfillant
190528,FULFILLMEN
101043,Fulfillment Bridge
100881,Furdeco
101102,Fuuffy
191266,FZEX
191074,FZR
100145,GAASH Worldwide
190381,GAEA
191385,GAEA
190901,Gande
100317,Gate Link Logistics
100717,Gati
190119,Gati (CN)
191190,G-BILLION
191570,Gbox
190953,GBS
100313,GBS-Broker
100754,GBtechnology
191259,GCC56
100173,GCX
100150,GD Express
190786,GDE
191060,GDJN
190754,Gdyhwl
100431,Gebrüder Weiss (GW)
100424,Gefco
100141,Geis
101067,Geis (PL)
100396,GEL Express Logistik
90021,General Post Office
100224,Geniki Taxydromiki
100962,Genka Express
100356,GEODIS
101156,GeodisPL
7031,Georgian Post
191046,GESC
100575,GFL Logística
190672,GFS
100578,GFS Seeker
100723,GFS Xpress
191349,GG
7051,Ghana Post
191208,GHD
190656,GHL
100202,GHL Logistics
100593,GHN (Giao Hàng Nhanh)
90061,Gibraltar Post
101074,GIG Logistics
101034,GigaCloud Technology Inc
190398,GIMEN
100960,Gio Express
100169,GlavDostavka
190879,GLEX
100739,"Global Commercial Technology Co.,LTD."
100983,Global Eco
100470,Global Express
191359,Global Logistics
191523,Global Net
100429,Global Post
100300,GLOBALTRANS
100873,GlobKurier.pl
100433,Glovo
100005,GLS
100207,GLS (Croatia)
100281,GLS (CZ)
101070,GLS (DE)
100280,GLS (HU)
100024,GLS (IT)
100384,GLS (NL)
100316,GLS (PT)
100284,GLS (RO)
100283,GLS (SI)
100282,GLS (SK)
100305,GLS (US)
100208,GLS Canada (Dicom)
101109,GLS Group
100646,GLS Portugal (National)
100189,GLS Spain (National)
100545,GLT Express
100953,GMS Worldwide Express
101064,Go Logistics
100963,GO! Express
101174,GO2 LOGISTICS
100411,Go4
101116,GoBolt
190623,GoFast
100996,GOFO Express
100421,GoGo Xpress
191433,GOLDEN WAY
101149,GOOD Express
191119,Good luck International
100624,Goodluck Courier Service
190723,GORTO
100539,GoRush
190663,Gotofreight
191115,GOX
100133,GPD Service
190761,GPL
190860,GPS
100156,Grand Slam Express
190506,Granful Solutions Ltd
100105,Grastin
191321,Greatsell
191320,Greencargo
191382,GREENROAD LOGISTICS
101057,Greenway
100656,Green-Way couriers
101151,Grigora Logistics
100299,Grupo ampm
100866,Grupo Castores
